4.200000 0.000000 0.000000 0.000054 0.999946 0.000000 0.099786 0.000000 0.000050 100 
4.210000 0.000000 0.000000 0.000048 0.999952 0.000000 0.087604 0.000000 0.000050 89 
4.220000 0.000000 0.000000 0.000045 0.999955 0.000000 0.074282 0.000000 0.000050 89 
4.230000 0.000000 0.000000 0.000051 0.999949 0.000000 0.092149 0.000000 0.000050 91 
4.240000 0.000000 0.000000 0.000043 0.999957 0.000000 0.086115 0.000000 0.000049 89 
4.250000 0.000000 0.000000 0.000049 0.999951 0.000000 0.107597 0.000000 0.000050 94 
4.260000 0.000000 0.000000 0.000044 0.999956 0.000000 0.096370 0.000000 0.000050 89 
4.270000 0.000000 0.000000 0.000056 0.999944 0.000000 0.120322 0.000000 0.000050 93 
4.280000 0.000000 0.000000 0.000040 0.999960 0.000000 0.079214 0.000000 0.000049 93 
4.290000 0.000000 0.000000 0.000049 0.999951 0.000000 0.087809 0.000000 0.000050 89 
4.300000 0.000000 0.000000 0.010470 0.989530 0.000000 0.125379 0.000380 0.027602 90 
4.310000 0.000000 0.000000 0.067261 0.932739 0.000000 0.278537 0.002254 0.054640 94 
4.320000 0.000000 0.000000 0.106239 0.893761 0.000000 0.314501 0.002265 0.055529 95 
4.330000 0.000000 0.000000 0.148376 0.851624 0.000000 0.359281 0.002202 0.043235 97 
4.340000 0.000000 0.000000 0.176843 0.823157 0.000000 0.370450 0.002573 0.025144 97 
4.350000 0.000000 0.000000 0.204604 0.795396 0.000000 0.381781 0.002284 0.010513 95 
4.360000 0.000000 0.000000 0.218740 0.781260 0.000000 0.375258 0.002232 0.010739 94 
4.370000 0.000000 0.000000 0.235428 0.764572 0.000000 0.380136 0.001673 0.025556 95 
4.380000 0.000000 0.000000 0.253043 0.746957 0.000000 0.383371 0.002205 0.005277 97 
4.390000 0.000000 0.000000 0.266465 0.733535 0.000000 0.385487 0.002007 0.003659 95 
4.400000 0.000000 0.000000 0.279108 0.720892 0.000000 0.385981 0.001482 0.004323 96 
4.410000 0.000000 0.000000 0.291138 0.708862 0.000000 0.387696 0.001706 0.003493 96 
4.420000 0.000000 0.000000 0.302039 0.697961 0.000000 0.388353 0.001790 0.002738 96 
4.430000 0.000000 0.000000 0.312127 0.687873 0.000000 0.387462 0.001835 0.003295 91 
4.440000 0.000000 0.000000 0.322701 0.677299 0.000000 0.388548 0.001589 0.002004 95 
4.450000 0.000000 0.000000 0.338495 0.661505 0.000000 0.386372 0.003127 0.064361 97 
4.460000 0.000000 0.000000 0.341370 0.658630 0.000000 0.389545 0.001610 0.001594 97 
4.470000 0.000000 0.000000 0.350316 0.649684 0.000000 0.389654 0.002251 0.002524 97 
4.480000 0.000000 0.000000 0.358413 0.641587 0.000000 0.388864 0.001610 0.001354 96 
4.490000 0.000000 0.000000 0.366497 0.633503 0.000000 0.389611 0.001644 0.001509 94 
4.500000 0.000000 0.000000 0.375832 0.624168 0.000000 0.389860 0.003014 0.011737 94 
4.510000 0.000000 0.000000 0.382118 0.617882 0.000000 0.390862 0.001773 0.001161 94 
4.520000 0.000000 0.000000 0.389292 0.610708 0.000000 0.390927 0.001879 0.001493 98 
4.530000 0.000000 0.000000 0.396766 0.603234 0.000000 0.391450 0.001568 0.001051 98 
4.540000 0.000000 0.000000 0.403672 0.596328 0.000000 0.392277 0.001459 0.000777 97 
4.550000 0.000000 0.000000 0.410373 0.589627 0.000000 0.391561 0.001431 0.000850 97 
4.560000 0.000000 0.000000 0.417112 0.582888 0.000000 0.392051 0.001417 0.000794 95 
4.570000 0.000000 0.000000 0.423555 0.576445 0.000000 0.391890 0.001463 0.000862 95 
4.580000 0.000000 0.000000 0.431196 0.568804 0.000000 0.393537 0.003125 0.011999 95 
4.590000 0.000000 0.000000 0.436006 0.563994 0.000000 0.393219 0.001369 0.000757 94 
4.600000 0.000000 0.000000 0.442169 0.557831 0.000000 0.391492 0.001667 0.000790 96 
4.610000 0.000000 0.000000 0.448175 0.551825 0.000000 0.393169 0.001115 0.000745 95 
4.620000 0.000000 0.000000 0.454126 0.545874 0.000000 0.392557 0.001333 0.000792 96 
4.630000 0.000000 0.000000 0.459782 0.540218 0.000000 0.392895 0.001640 0.000695 96 
4.640000 0.000000 0.000000 0.465603 0.534397 0.000000 0.393629 0.001365 0.000661 97 
4.650000 0.000000 0.000000 0.471112 0.528888 0.000000 0.394465 0.001423 0.000634 95 
4.660000 0.000000 0.000000 0.476653 0.523347 0.000000 0.393998 0.001065 0.000637 97 
4.670000 0.000000 0.000000 0.481994 0.518006 0.000000 0.394533 0.001269 0.000646 97 
4.680000 0.000000 0.000000 0.487234 0.512765 0.000000 0.394045 0.001046 0.000651 95 
4.690000 0.000000 0.000000 0.497752 0.502248 0.000000 0.392140 0.003453 0.051255 97 
4.700000 0.000000 0.000000 0.497815 0.502185 0.000000 0.395787 0.001116 0.000619 94 
4.710000 0.000000 0.000000 0.502901 0.497099 0.000000 0.395740 0.001451 0.000637 94 
4.720000 0.000000 0.000000 0.507967 0.492033 0.000000 0.395001 0.001157 0.000602 98 
4.730000 0.000000 0.000000 0.512979 0.487021 0.000000 0.394824 0.001544 0.000577 96 
4.740000 0.000000 0.000000 0.518046 0.481954 0.000000 0.395331 0.001182 0.000591 97 
4.750000 0.000000 0.000000 0.522807 0.477193 0.000000 0.395527 0.001545 0.000510 95 
4.760000 0.000000 0.000000 0.527930 0.472070 0.000000 0.394702 0.001511 0.001779 93 
4.770000 0.000000 0.000000 0.532471 0.467529 0.000000 0.395417 0.001380 0.000599 93 
