-nan -nan -nan -nan -nan 0.000000
2.000000 0.000000 0.000000 1.000000 0.000000 10.000000
2.100000 0.000000 0.000000 1.000000 0.000000 10.000000
2.200000 0.000000 0.000000 1.000000 0.000000 10.000000
2.300000 0.000000 0.000000 1.000000 0.000000 10.000000
2.400000 0.000000 0.000000 1.000000 0.000000 10.000000
2.500000 0.000000 0.000000 1.000000 0.000000 10.000000
2.600000 0.000000 0.000000 1.000000 0.000000 10.000000
2.700000 0.000000 0.000000 1.000000 0.000000 10.000000
2.800000 0.000000 0.000000 1.000000 0.000000 10.000000
2.900000 0.000000 0.000000 1.000000 0.000000 10.000000
3.000000 0.000000 0.000000 1.000000 0.000000 10.000000
3.100000 0.000000 0.000000 1.000000 0.000000 10.000000
3.200000 0.000000 0.000000 1.000000 0.000000 10.000000
3.300000 0.000000 0.123036 0.876964 0.000000 10.000000
3.400000 0.000000 0.187434 0.812566 0.000000 10.000000
3.500000 0.000000 0.219348 0.780652 0.000000 10.000000
3.600000 0.000000 0.239336 0.760664 0.000000 10.000000
3.700000 0.000000 0.254764 0.745236 0.000000 10.000000
3.800000 0.000000 0.270113 0.729887 0.000000 10.000000
3.900000 0.000000 0.282623 0.717377 0.000000 10.000000
4.000000 0.000000 0.296548 0.703452 0.000000 10.000000
4.100000 0.000000 0.312755 0.687245 0.000000 10.000000
4.200000 0.000000 0.330827 0.669172 0.000000 10.000000
4.300000 0.000000 0.354500 0.645500 0.000000 10.000000
4.400000 0.000000 0.380697 0.619303 0.000000 10.000000
4.500000 0.000000 0.414788 0.585212 0.000000 10.000000
4.600000 0.000000 0.453813 0.546187 0.000000 10.000000
4.700000 0.000000 0.501371 0.498629 0.000000 10.000000
4.800000 0.000000 0.556047 0.443953 0.000000 10.000000
4.900000 0.000000 0.617685 0.382315 0.000000 10.000000
5.000000 0.000000 0.682773 0.317227 0.000000 10.000000
5.100000 0.000000 0.745701 0.254299 0.000000 10.000000
5.200000 0.000000 0.805569 0.194431 0.000000 10.000000
5.300000 0.000000 0.854344 0.145656 0.000000 10.000000
5.400000 0.000000 0.894555 0.105445 0.000000 10.000000
5.500000 0.000000 0.921199 0.078801 0.000000 10.000000
5.600000 0.000000 0.941735 0.058265 0.000000 10.000000
5.700000 0.000000 0.955651 0.044349 0.000000 10.000000
5.800000 0.000000 0.966437 0.033564 0.000000 10.000000
5.900000 0.000000 0.974325 0.025675 0.000000 10.000000
6.000000 0.000000 0.980150 0.019850 0.000000 10.000000
6.100000 0.000000 0.984718 0.015282 0.000000 10.000000
6.200000 0.000000 0.987888 0.012112 0.000000 10.000000
6.300000 0.000000 0.990421 0.009579 0.000000 10.000000
6.400000 0.000000 0.992028 0.007972 0.000000 10.000000
6.500000 0.000000 0.993528 0.006472 0.000000 10.000000
6.600000 0.000000 0.995052 0.004948 0.000000 10.000000
6.700000 0.000000 0.996157 0.003843 0.000000 10.000000
6.800000 0.000000 0.996871 0.003129 0.000000 10.000000
6.900000 0.000000 0.997616 0.002384 0.000000 10.000000
7.000000 0.000000 0.998131 0.001869 0.000000 10.000000
